model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_vit_4,neighborhood_same_entity,0,"(102,)",0.002971163,0.04755831,0.17892501,-0.11652335,0.9803921568627452,0.9803921568627452,0.9607843137254902,0.931372549019608,0.9117647058823528,0.9019607843137256,0.8725490196078431,0.7843137254901961,0.7647058823529411,0.6568627450980392,0.5196078431372549,0.3725490196078431,0.284313725490196,0.1862745098039215,0.1470588235294117,0.0980392156862745,0.0784313725490196,0.0490196078431372,0.0490196078431372,0.0490196078431372,0.0
anet_vit_4,neighborhood_different_entity,0,"(35,)",-0.0061515393,0.048327643,0.10582156,-0.15087071,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9142857142857144,0.9142857142857144,0.8285714285714286,0.8285714285714286,0.7428571428571429,0.6285714285714286,0.5428571428571428,0.4857142857142857,0.3428571428571428,0.2857142857142857,0.1714285714285714,0.1428571428571428,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0285714285714285,0.0
anet_vit_4,counter_spatial,0,"(935,)",0.0032717842,0.046148725,0.19869868,-0.1704881,0.9807486631016042,0.9743315508021392,0.9700534759358288,0.9550802139037432,0.9240641711229948,0.8941176470588236,0.853475935828877,0.7946524064171123,0.7240641711229947,0.6352941176470588,0.5304812834224599,0.427807486631016,0.3240641711229946,0.2438502673796791,0.1839572192513369,0.1283422459893048,0.0919786096256684,0.0705882352941176,0.0491978609625668,0.0352941176470588,0.0
anet_vit_4,counter_contact,0,"(1008,)",0.008816204,0.048593886,0.18411277,-0.19760314,0.9761904761904762,0.9702380952380952,0.9613095238095238,0.953373015873016,0.933531746031746,0.9017857142857144,0.873015873015873,0.8214285714285714,0.7549603174603174,0.6765873015873016,0.5724206349206349,0.4791666666666667,0.3869047619047619,0.2876984126984127,0.2172619047619047,0.1765873015873016,0.1289682539682539,0.0982142857142857,0.0734126984126984,0.0476190476190476,0.0
anet_vit_4,counter_action,0,"(1168,)",0.017549414,0.04931169,0.22612424,-0.163088,0.9914383561643836,0.9845890410958904,0.9768835616438356,0.9700342465753424,0.949486301369863,0.9263698630136986,0.8912671232876712,0.8493150684931506,0.7970890410958904,0.7345890410958904,0.6498287671232876,0.550513698630137,0.4563356164383562,0.3647260273972603,0.288527397260274,0.2208904109589041,0.1780821917808219,0.1301369863013698,0.0958904109589041,0.0727739726027397,0.0
anet_vit_4,counter_attribute,0,"(818,)",0.015458866,0.052254852,0.23779555,-0.14490704,0.9902200488997556,0.9816625916870416,0.9718826405867972,0.9547677261613692,0.9339853300733496,0.9119804400977995,0.8728606356968215,0.8202933985330073,0.7616136919315404,0.6968215158924206,0.5916870415647921,0.5171149144254279,0.4498777506112469,0.3581907090464548,0.3019559902200489,0.2310513447432763,0.1797066014669926,0.1381418092909535,0.1173594132029339,0.0843520782396088,0.0
anet_vit_8,temporal_contact_swap,0,"(184,)",-0.0042151953,0.046458628,0.16711639,-0.21653858,0.9782608695652174,0.967391304347826,0.9565217391304348,0.9347826086956522,0.9130434782608696,0.8967391304347826,0.842391304347826,0.8043478260869565,0.7391304347826086,0.6467391304347826,0.4076086956521739,0.2880434782608695,0.2010869565217391,0.1413043478260869,0.108695652173913,0.0652173913043478,0.0489130434782608,0.0380434782608695,0.0271739130434782,0.0271739130434782,0.0
anet_vit_8,temporal_action_swap,0,"(62,)",0.011197225,0.04658682,0.11364278,-0.08009265,1.0,1.0,0.9838709677419356,0.967741935483871,0.9516129032258064,0.9032258064516128,0.8548387096774194,0.7741935483870968,0.7096774193548387,0.6451612903225806,0.5806451612903226,0.4838709677419355,0.4032258064516129,0.3225806451612903,0.2580645161290322,0.2096774193548387,0.1774193548387097,0.1290322580645161,0.0806451612903225,0.064516129032258,0.0
anet_vit_8,neighborhood_same_entity,0,"(102,)",0.0013747569,0.043290462,0.14575264,-0.12033109,0.9803921568627452,0.9803921568627452,0.9705882352941176,0.9607843137254902,0.9411764705882352,0.9117647058823528,0.8627450980392157,0.7843137254901961,0.7254901960784313,0.6274509803921569,0.5098039215686274,0.3529411764705882,0.2745098039215686,0.196078431372549,0.1470588235294117,0.0980392156862745,0.0784313725490196,0.0686274509803921,0.0392156862745098,0.0392156862745098,0.0
anet_vit_8,neighborhood_different_entity,0,"(35,)",-0.003828528,0.044156015,0.096604615,-0.11836217,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9142857142857144,0.9142857142857144,0.8857142857142857,0.8285714285714286,0.8,0.6857142857142857,0.5714285714285714,0.4571428571428571,0.3142857142857143,0.2285714285714285,0.2285714285714285,0.1142857142857142,0.0857142857142857,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0285714285714285,0.0
anet_vit_8,counter_spatial,0,"(935,)",0.0030269057,0.041680105,0.16682248,-0.14409032,0.990374331550802,0.9871657754010696,0.9786096256684492,0.9593582887700536,0.944385026737968,0.9058823529411764,0.8705882352941177,0.827807486631016,0.7443850267379679,0.6331550802139038,0.509090909090909,0.3818181818181818,0.3026737967914438,0.2288770053475936,0.1689839572192513,0.1155080213903743,0.0823529411764705,0.055614973262032,0.0374331550802139,0.0256684491978609,0.0
anet_vit_8,counter_contact,0,"(1008,)",0.007848154,0.04663306,0.18422768,-0.16356267,0.98015873015873,0.9732142857142856,0.9662698412698412,0.9563492063492064,0.9464285714285714,0.9265873015873016,0.8908730158730159,0.8263888888888888,0.7559523809523809,0.6775793650793651,0.5446428571428571,0.4494047619047619,0.3501984126984127,0.2817460317460317,0.2172619047619047,0.1676587301587301,0.123015873015873,0.0882936507936508,0.0644841269841269,0.0466269841269841,0.0
anet_vit_8,counter_action,0,"(1168,)",0.015680773,0.045772392,0.18323743,-0.18178338,0.9922945205479452,0.985445205479452,0.9811643835616438,0.9708904109589042,0.9606164383561644,0.9417808219178082,0.9083904109589042,0.8621575342465754,0.8065068493150684,0.7363013698630136,0.6318493150684932,0.5282534246575342,0.4332191780821918,0.3373287671232877,0.2611301369863014,0.1952054794520548,0.1523972602739726,0.1138698630136986,0.086472602739726,0.0633561643835616,0.0
anet_vit_8,counter_attribute,0,"(818,)",0.014073755,0.04980006,0.22675017,-0.1486227,0.9865525672371638,0.980440097799511,0.9718826405867972,0.9645476772616136,0.952322738386308,0.9327628361858192,0.8997555012224939,0.8337408312958435,0.7628361858190709,0.7029339853300733,0.6014669926650367,0.5171149144254279,0.402200488997555,0.2970660146699266,0.2359413202933985,0.187041564792176,0.1491442542787286,0.1320293398533007,0.1002444987775061,0.0831295843520782,0.0
anet_meanp,temporal_contact_swap,0,"(184,)",-0.0010990779,0.045571376,0.1622835,-0.1520502,0.9782608695652174,0.967391304347826,0.9619565217391304,0.9619565217391304,0.9293478260869564,0.8804347826086957,0.8369565217391305,0.7934782608695652,0.7282608695652174,0.6358695652173914,0.4510869565217391,0.3315217391304347,0.2608695652173913,0.1684782608695652,0.1358695652173913,0.092391304347826,0.0706521739130434,0.0543478260869565,0.0380434782608695,0.0326086956521739,0.0
