model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_meanp_improv,neighborhood_same_entity,0,"(102,)",0.001781429,0.034228723,0.11302013,-0.09087941,1.0,0.9901960784313726,0.9803921568627452,0.9705882352941176,0.9509803921568628,0.9509803921568628,0.8823529411764706,0.8235294117647058,0.7843137254901961,0.696078431372549,0.5294117647058824,0.4019607843137255,0.2450980392156862,0.1666666666666666,0.1176470588235294,0.0686274509803921,0.0392156862745098,0.0294117647058823,0.0196078431372549,0.0196078431372549,0.0
anet_meanp_improv,neighborhood_different_entity,0,"(35,)",-0.0034440134,0.027601387,0.05933301,-0.06410733,1.0,1.0,1.0,1.0,0.9714285714285714,0.9428571428571428,0.9142857142857144,0.8571428571428571,0.7428571428571429,0.5714285714285714,0.4,0.3428571428571428,0.2,0.0857142857142857,0.0571428571428571,0.0285714285714285,0.0,0.0,0.0,0.0,0.0
anet_meanp_improv,counter_spatial,0,"(935,)",0.008924452,0.033733994,0.13942017,-0.14232221,0.9989304812834224,0.9978609625668448,0.9935828877005348,0.9871657754010696,0.9796791443850268,0.9647058823529412,0.9411764705882352,0.902673796791444,0.8352941176470589,0.7283422459893049,0.5903743315508021,0.4491978609625668,0.33475935828877,0.2320855614973262,0.1657754010695187,0.1122994652406417,0.0705882352941176,0.0470588235294117,0.0288770053475935,0.0128342245989304,0.0
anet_meanp_improv,counter_contact,0,"(1008,)",0.010518002,0.036857925,0.18580818,-0.10068838,0.9990079365079364,0.9940476190476192,0.9890873015873016,0.9781746031746033,0.9672619047619048,0.9513888888888888,0.9236111111111112,0.8779761904761905,0.8273809523809523,0.7490079365079365,0.6180555555555556,0.4751984126984127,0.375,0.2619047619047619,0.181547619047619,0.1220238095238095,0.0922619047619047,0.0555555555555555,0.0406746031746031,0.0248015873015873,0.0
anet_meanp_improv,counter_action,0,"(1168,)",0.018365815,0.03838305,0.18123397,-0.11031796,0.9991438356164384,0.9965753424657534,0.9931506849315068,0.9914383561643836,0.9837328767123288,0.9717465753424658,0.9503424657534246,0.922945205479452,0.8672945205479452,0.7825342465753424,0.6763698630136986,0.559931506849315,0.4486301369863014,0.3381849315068493,0.2534246575342466,0.1797945205479452,0.136986301369863,0.0898972602739726,0.0616438356164383,0.0419520547945205,0.0
anet_meanp_improv,counter_attribute,0,"(818,)",0.015077578,0.04244869,0.20245706,-0.15477918,0.9975550122249388,0.9926650366748166,0.9877750611246944,0.9767726161369192,0.9682151589242054,0.9584352078239609,0.9266503667481664,0.8899755501222494,0.8264058679706602,0.7347188264058679,0.6295843520782396,0.519559902200489,0.4144254278728606,0.3129584352078239,0.2396088019559902,0.1748166259168704,0.1295843520782396,0.1002444987775061,0.0745721271393643,0.0513447432762836,0.0
anet_vit_6_improv,temporal_contact_swap,0,"(184,)",-0.0035304946,0.039315466,0.1395157,-0.13143715,0.9891304347826086,0.9782608695652174,0.9782608695652174,0.9510869565217392,0.9293478260869564,0.9021739130434784,0.8641304347826086,0.7934782608695652,0.7065217391304348,0.6141304347826086,0.4076086956521739,0.3315217391304347,0.2228260869565217,0.1467391304347826,0.092391304347826,0.0652173913043478,0.0489130434782608,0.0380434782608695,0.0271739130434782,0.0217391304347826,0.0
anet_vit_6_improv,temporal_action_swap,0,"(62,)",0.0085273385,0.04474125,0.12497885,-0.10135044,0.9838709677419356,0.9838709677419356,0.9838709677419356,0.9516129032258064,0.9193548387096774,0.8870967741935484,0.8548387096774194,0.7903225806451613,0.7580645161290323,0.6774193548387096,0.5967741935483871,0.5161290322580645,0.4193548387096774,0.2903225806451613,0.1935483870967742,0.1290322580645161,0.1129032258064516,0.0806451612903225,0.064516129032258,0.032258064516129,0.0
anet_vit_6_improv,neighborhood_same_entity,0,"(102,)",0.0015647468,0.04033134,0.11733819,-0.10255517,0.9901960784313726,0.9705882352941176,0.9411764705882352,0.9411764705882352,0.9117647058823528,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7745098039215687,0.6764705882352942,0.5392156862745098,0.4313725490196078,0.2941176470588235,0.2254901960784313,0.1470588235294117,0.0784313725490196,0.0588235294117647,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0
anet_vit_6_improv,neighborhood_different_entity,0,"(35,)",-0.014389411,0.042485826,0.055736005,-0.14966272,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9142857142857144,0.8571428571428571,0.8285714285714286,0.7428571428571429,0.6571428571428571,0.5714285714285714,0.4857142857142857,0.3714285714285714,0.2,0.1714285714285714,0.1714285714285714,0.1428571428571428,0.1142857142857142,0.0,0.0,0.0,0.0,0.0
anet_vit_6_improv,counter_spatial,0,"(935,)",0.010494856,0.043275762,0.17683737,-0.13538012,0.9871657754010696,0.9850267379679144,0.9807486631016042,0.9711229946524064,0.958288770053476,0.93048128342246,0.8962566844919786,0.8524064171122995,0.7935828877005348,0.706951871657754,0.5967914438502674,0.4620320855614973,0.3871657754010695,0.2855614973262032,0.2192513368983957,0.1593582887700534,0.1176470588235294,0.0791443850267379,0.0577540106951871,0.0459893048128342,0.0
anet_vit_6_improv,counter_contact,0,"(1008,)",0.010781583,0.047146566,0.17650737,-0.14568175,0.9890873015873016,0.9811507936507936,0.9672619047619048,0.9603174603174603,0.939484126984127,0.9097222222222222,0.873015873015873,0.8422619047619048,0.7797619047619048,0.685515873015873,0.5803571428571429,0.4871031746031746,0.3978174603174603,0.2976190476190476,0.2271825396825396,0.1785714285714285,0.1339285714285714,0.1041666666666666,0.0744047619047619,0.052579365079365,0.0
anet_vit_6_improv,counter_action,0,"(1168,)",0.019084124,0.04622359,0.207653,-0.1343632,0.9931506849315068,0.988013698630137,0.9837328767123288,0.9743150684931506,0.9657534246575342,0.9460616438356164,0.9195205479452054,0.875,0.8227739726027398,0.7542808219178082,0.6575342465753424,0.547945205479452,0.4657534246575342,0.3732876712328767,0.2996575342465753,0.2303082191780822,0.1712328767123287,0.1292808219178082,0.1018835616438356,0.0625,0.0
anet_vit_6_improv,counter_attribute,0,"(818,)",0.01834333,0.049485005,0.19565763,-0.14915493,0.9951100244498776,0.9926650366748166,0.982885085574572,0.9718826405867972,0.9547677261613692,0.9352078239608802,0.8997555012224939,0.8667481662591687,0.793398533007335,0.7237163814180929,0.6185819070904646,0.5220048899755502,0.4547677261613692,0.3691931540342298,0.3080684596577017,0.2273838630806846,0.1735941320293398,0.1369193154034229,0.10880195599022,0.0916870415647921,0.0
anet_vit_8_improv,temporal_contact_swap,0,"(184,)",0.00012176889,0.030534843,0.12368761,-0.09449348,1.0,0.9945652173913044,0.9891304347826086,0.9836956521739132,0.9510869565217392,0.9456521739130436,0.9184782608695652,0.8804347826086957,0.7989130434782609,0.7065217391304348,0.4673913043478261,0.3152173913043478,0.1576086956521739,0.1032608695652173,0.0760869565217391,0.0543478260869565,0.0380434782608695,0.0271739130434782,0.0217391304347826,0.0108695652173913,0.0
anet_vit_8_improv,temporal_action_swap,0,"(62,)",0.0040751793,0.031227194,0.092922434,-0.06953056,1.0,1.0,1.0,1.0,0.967741935483871,0.935483870967742,0.9193548387096774,0.9032258064516128,0.7903225806451613,0.7096774193548387,0.5645161290322581,0.3870967741935484,0.2419354838709677,0.1935483870967742,0.1612903225806451,0.064516129032258,0.032258064516129,0.032258064516129,0.0161290322580645,0.0161290322580645,0.0
anet_vit_8_improv,neighborhood_same_entity,0,"(102,)",0.0035249672,0.03141039,0.09238659,-0.120339036,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9803921568627452,0.9607843137254902,0.9411764705882352,0.9215686274509804,0.9117647058823528,0.8529411764705882,0.7156862745098039,0.5784313725490197,0.3823529411764705,0.2058823529411764,0.1274509803921568,0.1078431372549019,0.0588235294117647,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.0196078431372549,0.0
anet_vit_8_improv,neighborhood_different_entity,0,"(35,)",0.0017252973,0.025054755,0.07586248,-0.06632027,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.8571428571428571,0.7142857142857143,0.4857142857142857,0.3428571428571428,0.2285714285714285,0.0571428571428571,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0,0.0,0.0
anet_vit_8_improv,counter_spatial,0,"(935,)",0.0057899402,0.029435093,0.16290204,-0.09494345,1.0,0.9989304812834224,0.9978609625668448,0.9957219251336898,0.9893048128342246,0.9732620320855616,0.946524064171123,0.9144385026737968,0.8331550802139037,0.718716577540107,0.5775401069518716,0.4032085561497326,0.2652406417112299,0.174331550802139,0.1101604278074866,0.0716577540106951,0.041711229946524,0.0256684491978609,0.0171122994652406,0.0074866310160427,0.0
anet_vit_8_improv,counter_contact,0,"(1008,)",0.008932635,0.033138424,0.13701332,-0.14219712,0.9950396825396826,0.9950396825396826,0.9950396825396826,0.9910714285714286,0.9761904761904762,0.9642857142857144,0.9375,0.9017857142857144,0.8531746031746031,0.7549603174603174,0.6130952380952381,0.4503968253968254,0.3174603174603174,0.2212301587301587,0.1527777777777778,0.1001984126984127,0.0714285714285714,0.0436507936507936,0.0218253968253968,0.0138888888888888,0.0
