model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_vit_4,temporal_contact_swap,0,"(184,)",-0.0025697318,0.022170138,0.07715811,-0.11711942,0.9945652173913043,0.9945652173913043,0.9945652173913043,0.9945652173913043,0.9836956521739131,0.967391304347826,0.9619565217391305,0.9130434782608695,0.8695652173913043,0.6956521739130435,0.4076086956521739,0.23369565217391305,0.09782608695652174,0.05434782608695652,0.02717391304347826,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0,0.0,0.0
anet_vit_4,temporal_action_swap,0,"(62,)",0.00064869755,0.022640768,0.056157738,-0.049503252,1.0,1.0,1.0,1.0,1.0,1.0,0.9838709677419355,0.9354838709677419,0.8548387096774194,0.6451612903225806,0.41935483870967744,0.2903225806451613,0.1935483870967742,0.16129032258064516,0.08064516129032258,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
anet_vit_4,neighborhood_same_entity,0,"(102,)",0.0012934626,0.018417938,0.07217647,-0.037615404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,0.8921568627450981,0.7549019607843137,0.5196078431372549,0.21568627450980393,0.11764705882352941,0.06862745098039216,0.0392156862745098,0.029411764705882353,0.0196078431372549,0.00980392156862745,0.0,0.0,0.0
anet_vit_4,neighborhood_different_entity,0,"(35,)",0.0023507467,0.01640848,0.035469517,-0.04270661,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.8285714285714286,0.5428571428571428,0.2571428571428571,0.14285714285714285,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anet_vit_4,counter_spatial,0,"(935,)",0.000827123,0.021697955,0.095605,-0.10227886,0.9989304812834224,0.9978609625668449,0.9967914438502674,0.9946524064171123,0.9925133689839573,0.986096256684492,0.9721925133689839,0.9433155080213904,0.8737967914438503,0.7229946524064171,0.4909090909090909,0.28449197860962566,0.15080213903743314,0.08663101604278074,0.040641711229946524,0.022459893048128343,0.013903743315508022,0.0053475935828877,0.0021390374331550803,0.0021390374331550803,0.0
anet_vit_4,counter_attribute,0,"(818,)",0.0051825987,0.024608765,0.09911506,-0.11079025,0.9987775061124694,0.9987775061124694,0.9987775061124694,0.9987775061124694,0.9951100244498777,0.9865525672371638,0.9755501222493888,0.9327628361858191,0.8777506112469438,0.7713936430317848,0.5684596577017115,0.3801955990220049,0.23227383863080683,0.1295843520782396,0.06723716381418093,0.040342298288508556,0.029339853300733496,0.018337408312958436,0.008557457212713936,0.006112469437652812,0.0
anet_vit_4,counter_action,0,"(1168,)",0.0067750784,0.024860194,0.1420876,-0.09121159,1.0,0.9991438356164384,0.9982876712328768,0.9982876712328768,0.9957191780821918,0.9888698630136986,0.9751712328767124,0.9529109589041096,0.8929794520547946,0.7748287671232876,0.601027397260274,0.3998287671232877,0.24143835616438356,0.1404109589041096,0.08904109589041095,0.052226027397260275,0.030821917808219176,0.02054794520547945,0.007705479452054794,0.0059931506849315065,0.0
anet_vit_4,counter_attribute,0,"(818,)",0.0051825987,0.024608765,0.09911506,-0.11079025,0.9987775061124694,0.9987775061124694,0.9987775061124694,0.9987775061124694,0.9951100244498777,0.9865525672371638,0.9755501222493888,0.9327628361858191,0.8777506112469438,0.7713936430317848,0.5684596577017115,0.3801955990220049,0.23227383863080683,0.1295843520782396,0.06723716381418093,0.040342298288508556,0.029339853300733496,0.018337408312958436,0.008557457212713936,0.006112469437652812,0.0
